year,zone_id,province_id,province_name,region,zone_number,party_name,votes,vote_pct,rank,total_votes
2562,pv_62_z_1,pv_62,กำแพงเพชร,ภาคกลาง,1,พลังประชารัฐ,32642,33.53,1,97365
2562,pv_62_z_1,pv_62,กำแพงเพชร,ภาคกลาง,1,เพื่อไทย,18834,19.34,2,97365
2562,pv_62_z_1,pv_62,กำแพงเพชร,ภาคกลาง,1,ภูมิใจไทย,17082,17.54,3,97365
2562,pv_62_z_1,pv_62,กำแพงเพชร,ภาคกลาง,1,อนาคตใหม่,11416,11.72,4,97365
2562,pv_62_z_1,pv_62,กำแพงเพชร,ภาคกลาง,1,ประชาธิปัตย์,9732,10.00,5,97365
2562,pv_62_z_1,pv_62,กำแพงเพชร,ภาคกลาง,1,เสรีรวมไทย,1195,1.23,6,97365
2562,pv_62_z_1,pv_62,กำแพงเพชร,ภาคกลาง,1,เศรษฐกิจใหม่,1189,1.22,7,97365
2562,pv_62_z_1,pv_62,กำแพงเพชร,ภาคกลาง,1,รวมพลังประชาชาติไทย,667,0.69,8,97365
2562,pv_62_z_1,pv_62,กำแพงเพชร,ภาคกลาง,1,เพื่อชาติ,645,0.66,9,97365
2562,pv_62_z_1,pv_62,กำแพงเพชร,ภาคกลาง,1,พลังท้องถิ่นไท,618,0.63,10,97365
2562,pv_62_z_1,pv_62,กำแพงเพชร,ภาคกลาง,1,ชาติไทยพัฒนา,332,0.34,11,97365
2562,pv_62_z_1,pv_62,กำแพงเพชร,ภาคกลาง,1,รักษ์ผืนป่าประเทศไทย,295,0.30,12,97365
2562,pv_62_z_1,pv_62,กำแพงเพชร,ภาคกลาง,1,พลเมืองไทย,288,0.30,13,97365
2562,pv_62_z_1,pv_62,กำแพงเพชร,ภาคกลาง,1,ภราดรภาพ,275,0.28,14,97365
2562,pv_62_z_1,pv_62,กำแพงเพชร,ภาคกลาง,1,พลังไทยรักไทย,254,0.26,15,97365
2562,pv_62_z_1,pv_62,กำแพงเพชร,ภาคกลาง,1,ประชาธิปไตยใหม่,251,0.26,16,97365
2562,pv_62_z_1,pv_62,กำแพงเพชร,ภาคกลาง,1,ไทยศรีวิไลย์,248,0.25,17,97365
2562,pv_62_z_1,pv_62,กำแพงเพชร,ภาคกลาง,1,ประชากรไทย,245,0.25,18,97365
2562,pv_62_z_1,pv_62,กำแพงเพชร,ภาคกลาง,1,พลังชาติไทย,191,0.20,19,97365
2562,pv_62_z_1,pv_62,กำแพงเพชร,ภาคกลาง,1,แผ่นดินธรรม,174,0.18,20,97365
2562,pv_62_z_1,pv_62,กำแพงเพชร,ภาคกลาง,1,ประชาชนปฏิรูป,167,0.17,21,97365
2562,pv_62_z_1,pv_62,กำแพงเพชร,ภาคกลาง,1,พลังประชาธิปไตย,136,0.14,22,97365
2562,pv_62_z_1,pv_62,กำแพงเพชร,ภาคกลาง,1,ครูไทยเพื่อประชาชน,116,0.12,23,97365
2562,pv_62_z_1,pv_62,กำแพงเพชร,ภาคกลาง,1,ประชาภิวัฒน์,91,0.09,24,97365
2562,pv_62_z_1,pv_62,กำแพงเพชร,ภาคกลาง,1,ผึ้งหลวง,91,0.09,25,97365
2562,pv_62_z_1,pv_62,กำแพงเพชร,ภาคกลาง,1,เพื่อแผ่นดิน,69,0.07,26,97365
2562,pv_62_z_1,pv_62,กำแพงเพชร,ภาคกลาง,1,เครือข่ายชาวนาแห่งประเทศไทย,68,0.07,27,97365
2562,pv_62_z_1,pv_62,กำแพงเพชร,ภาคกลาง,1,ประชานิยม,54,0.06,28,97365
2562,pv_62_z_1,pv_62,กำแพงเพชร,ภาคกลาง,1,เพื่อนไทย,0,0.00,29,97365
2562,pv_62_z_1,pv_62,กำแพงเพชร,ภาคกลาง,1,ไทรักธรรม,0,0.00,30,97365
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,พลังประชารัฐ,34271,37.42,1,91596
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,เพื่อไทย,18626,20.33,2,91596
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,ประชาธิปัตย์,13261,14.48,3,91596
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,ภูมิใจไทย,12891,14.07,4,91596
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,พลังท้องถิ่นไท,3634,3.97,5,91596
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,เสรีรวมไทย,1502,1.64,6,91596
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,เศรษฐกิจใหม่,1086,1.19,7,91596
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,พลังชาติไทย,796,0.87,8,91596
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,ชาติไทยพัฒนา,707,0.77,9,91596
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,รวมพลังประชาชาติไทย,475,0.52,10,91596
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,เพื่อชาติ,439,0.48,11,91596
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,ประชานิยม,406,0.44,12,91596
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,พลังไทยรักไทย,388,0.42,13,91596
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,ประชาภิวัฒน์,349,0.38,14,91596
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,ภราดรภาพ,338,0.37,15,91596
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,ครูไทยเพื่อประชาชน,338,0.37,16,91596
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,รักษ์ผืนป่าประเทศไทย,295,0.32,17,91596
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,เพื่อสหกรณ์ไทย,281,0.31,18,91596
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,ประชาชนปฏิรูป,248,0.27,19,91596
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,ชาติพัฒนา,227,0.25,20,91596
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,แผ่นดินธรรม,225,0.25,21,91596
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,เครือข่ายชาวนาแห่งประเทศไทย,165,0.18,22,91596
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,ประชาธิปไตยใหม่,157,0.17,23,91596
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,พลังประชาธิปไตย,149,0.16,24,91596
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,ผึ้งหลวง,138,0.15,25,91596
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,พลังปวงชนไทย,133,0.15,26,91596
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,ไทรักธรรม,71,0.08,27,91596
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,เพื่อนไทย,0,0.00,28,91596
2562,pv_62_z_2,pv_62,กำแพงเพชร,ภาคกลาง,2,อนาคตใหม่,0,0.00,29,91596
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,พลังประชารัฐ,31127,35.80,1,86951
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,ประชาธิปัตย์,21071,24.23,2,86951
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,เพื่อไทย,18522,21.30,3,86951
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,อนาคตใหม่,8966,10.31,4,86951
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,เสรีรวมไทย,981,1.13,5,86951
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,เพื่อชาติ,902,1.04,6,86951
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,ภูมิใจไทย,849,0.98,7,86951
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,ครูไทยเพื่อประชาชน,687,0.79,8,86951
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,เศรษฐกิจใหม่,676,0.78,9,86951
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,พลังไทยรักไทย,541,0.62,10,86951
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,รวมพลังประชาชาติไทย,510,0.59,11,86951
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,ผึ้งหลวง,297,0.34,12,86951
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,พลังท้องถิ่นไท,226,0.26,13,86951
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,ชาติพัฒนา,195,0.22,14,86951
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,ไทยศรีวิไลย์,178,0.20,15,86951
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,รักษ์ผืนป่าประเทศไทย,159,0.18,16,86951
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,ประชานิยม,122,0.14,17,86951
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,พลังชาติไทย,119,0.14,18,86951
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,แผ่นดินธรรม,114,0.13,19,86951
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,พลังปวงชนไทย,112,0.13,20,86951
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,เครือข่ายชาวนาแห่งประเทศไทย,82,0.09,21,86951
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,ประชาภิวัฒน์,81,0.09,22,86951
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,ประชาธิปไตยใหม่,81,0.09,23,86951
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,ชาติไทยพัฒนา,68,0.08,24,86951
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,พลังประชาธิปไตย,59,0.07,25,86951
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,ประชากรไทย,54,0.06,26,86951
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,ไทรักธรรม,53,0.06,27,86951
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,ประชาชนปฏิรูป,51,0.06,28,86951
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,ภาคีเครือข่ายไทย,37,0.04,29,86951
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,ประชาธรรมไทย,31,0.04,30,86951
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,เพื่อแผ่นดิน,0,0.00,31,86951
2562,pv_62_z_3,pv_62,กำแพงเพชร,ภาคกลาง,3,เพื่อนไทย,0,0.00,32,86951
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,พลังประชารัฐ,30112,33.78,1,89152
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,เพื่อไทย,26446,29.66,2,89152
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,ภูมิใจไทย,11536,12.94,3,89152
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,อนาคตใหม่,8242,9.24,4,89152
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,ประชาธิปัตย์,5351,6.00,5,89152
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,พลังท้องถิ่นไท,1135,1.27,6,89152
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,เสรีรวมไทย,1011,1.13,7,89152
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,เครือข่ายชาวนาแห่งประเทศไทย,738,0.83,8,89152
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,เศรษฐกิจใหม่,612,0.69,9,89152
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,ชาติพัฒนา,582,0.65,10,89152
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,เพื่อชาติ,487,0.55,11,89152
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,รวมพลังประชาชาติไทย,472,0.53,12,89152
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,พลังไทยรักไทย,467,0.52,13,89152
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,พลังชาติไทย,322,0.36,14,89152
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,ชาติไทยพัฒนา,220,0.25,15,89152
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,พลังปวงชนไทย,220,0.25,16,89152
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,ประชานิยม,210,0.24,17,89152
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,แผ่นดินธรรม,175,0.20,18,89152
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,ไทยศรีวิไลย์,152,0.17,19,89152
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,รักษ์ผืนป่าประเทศไทย,150,0.17,20,89152
2562,pv_62_z_4,pv_62,กำแพงเพชร,ภาคกลาง,4,ประชาภิวัฒน์,134,0.15,21,89152
