year,zone_id,province_id,province_name,region,zone_number,party_id,party_name,party_code,votes,vote_pct,rank
2566,pv_23_z_1,pv_23,,,1,ely_y2566_id_164,164,164,54755,45.0,1
2566,pv_23_z_1,pv_23,,,1,ely_y2566_id_34,,34,22416,18.0,2
2566,pv_23_z_1,pv_23,,,1,ely_y2566_id_229,229,229,20181,16.0,3
2566,pv_23_z_1,pv_23,,,1,ely_y2566_id_1,,1,4582,3.0,4
2566,pv_23_z_1,pv_23,,,1,ely_y2566_id_192,192,192,2587,2.0,5
2566,pv_23_z_1,pv_23,,,1,ely_y2566_id_63,,63,2414,1.0,6
2566,pv_23_z_1,pv_23,,,1,ely_y2566_id_109,,109,2140,1.0,7
2566,pv_23_z_1,pv_23,,,1,ely_y2566_id_145,145,145,1856,1.0,8
2566,pv_23_z_1,pv_23,,,1,ely_y2566_id_244,244,244,1654,1.0,9
2566,pv_23_z_1,pv_23,,,1,ely_y2566_id_242,242,242,1173,0,10
2566,pv_23_z_1,pv_23,,,1,ely_y2566_id_227,227,227,809,0,11
2566,pv_23_z_1,pv_23,,,1,ely_y2566_id_226,226,226,584,0,12
2566,pv_23_z_1,pv_23,,,1,ely_y2566_id_185,185,185,501,0,13
2566,pv_23_z_1,pv_23,,,1,ely_y2566_id_245,245,245,456,0,14
2566,pv_23_z_1,pv_23,,,1,ely_y2566_id_45,,45,311,0,15
2566,pv_23_z_1,pv_23,,,1,ely_y2566_id_234,234,234,299,0,16
2566,pv_23_z_1,pv_23,,,1,ely_y2566_id_203,203,203,296,0,17
2566,pv_23_z_1,pv_23,,,1,ely_y2566_id_149,149,149,268,0,18
2566,pv_23_z_1,pv_23,,,1,ely_y2566_id_250,250,250,257,0,19
2566,pv_23_z_1,pv_23,,,1,ely_y2566_id_252,252,252,248,0,20
2566,pv_23_z_1,pv_23,,,1,ely_y2566_id_183,183,183,241,0,21
2566,pv_23_z_1,pv_23,,,1,ely_y2566_id_238,238,238,241,0,22
2566,pv_23_z_1,pv_23,,,1,ely_y2566_id_170,170,170,237,0,23
2566,pv_23_z_1,pv_23,,,1,ely_y2566_id_187,187,187,199,0,24
2566,pv_23_z_1,pv_23,,,1,ely_y2566_id_221,221,221,199,0,25
2566,pv_23_z_1,pv_23,,,1,ely_y2566_id_205,205,205,151,0,26
2566,pv_23_z_1,pv_23,,,1,ely_y2566_id_247,247,247,143,0,27
2566,pv_23_z_1,pv_23,,,1,ely_y2566_id_56,,56,138,0,28
2566,pv_23_z_1,pv_23,,,1,ely_y2566_id_181,181,181,136,0,29
2566,pv_23_z_1,pv_23,,,1,ely_y2566_id_246,246,246,136,0,30
2566,pv_23_z_1,pv_23,,,1,ely_y2566_id_55,,55,134,0,31
