year,zone_id,province_id,province_name,region,zone_number,party_id,party_name,party_code,votes,vote_pct,rank
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_164,ก้าวไกล,164,54755,45.0,1
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_34,เพื่อไทย,34,22416,18.0,2
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_229,รวมไทยสร้างชาติ,229,20181,16.0,3
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_1,ประชาธิปัตย์,1,4582,3.0,4
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_192,พลังประชารัฐ,192,2587,2.0,5
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_63,ภูมิใจไทย,63,2414,1.0,6
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_109,ประชาธิปไตยใหม่,109,2140,1.0,7
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_145,เสรีรวมไทย,145,1856,1.0,8
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_244,ใหม่,244,1654,1.0,9
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_242,ท้องที่ไทย,242,1173,0,10
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_227,ไทยสร้างไทย,227,809,0,11
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_226,พลังสังคมใหม่,226,584,0,12
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_185,เพื่อชาติไทย,185,501,0,13
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_245,แรงงานสร้างชาติ,245,456,0,14
2566,pv_23_z_1,pv_23,ตราด,ภาคตะวันออก,1,ely_y2566_id_45,ชาติพัฒนากล้า,45,311,0,15
