province,zone,no,score
กำแพงเพชร,1,15,32642
กำแพงเพชร,1,11,18834
กำแพงเพชร,1,13,17082
กำแพงเพชร,1,17,11416
กำแพงเพชร,1,16,9732
กำแพงเพชร,1,9,1195
กำแพงเพชร,1,20,1189
กำแพงเพชร,1,2,667
กำแพงเพชร,1,12,645
กำแพงเพชร,1,14,618
กำแพงเพชร,1,5,332
กำแพงเพชร,1,3,295
กำแพงเพชร,1,26,288
กำแพงเพชร,1,1,275
กำแพงเพชร,1,7,254
กำแพงเพชร,1,21,251
กำแพงเพชร,1,18,248
กำแพงเพชร,1,25,245
กำแพงเพชร,1,23,191
กำแพงเพชร,1,8,174
กำแพงเพชร,1,4,167
กำแพงเพชร,1,30,136
กำแพงเพชร,1,22,116
กำแพงเพชร,1,6,91
กำแพงเพชร,1,28,91
กำแพงเพชร,1,27,69
กำแพงเพชร,1,24,68
กำแพงเพชร,1,19,54
กำแพงเพชร,1,10,0
กำแพงเพชร,1,29,0
กำแพงเพชร,2,13,34271
กำแพงเพชร,2,17,18626
กำแพงเพชร,2,4,13261
กำแพงเพชร,2,16,12891
กำแพงเพชร,2,2,3634
กำแพงเพชร,2,14,1502
กำแพงเพชร,2,21,1086
กำแพงเพชร,2,23,796
กำแพงเพชร,2,3,707
กำแพงเพชร,2,7,475
กำแพงเพชร,2,10,439
กำแพงเพชร,2,12,406
กำแพงเพชร,2,9,388
กำแพงเพชร,2,15,349
กำแพงเพชร,2,1,338
กำแพงเพชร,2,22,338
กำแพงเพชร,2,11,295
กำแพงเพชร,2,24,281
กำแพงเพชร,2,6,248
กำแพงเพชร,2,8,227
กำแพงเพชร,2,5,225
กำแพงเพชร,2,26,165
กำแพงเพชร,2,20,157
กำแพงเพชร,2,25,149
กำแพงเพชร,2,29,138
กำแพงเพชร,2,27,133
กำแพงเพชร,2,28,71
กำแพงเพชร,2,18,0
กำแพงเพชร,2,19,0
กำแพงเพชร,3,3,31127
กำแพงเพชร,3,2,21071
กำแพงเพชร,3,12,18522
กำแพงเพชร,3,17,8966
กำแพงเพชร,3,13,981
กำแพงเพชร,3,1,902
กำแพงเพชร,3,9,849
กำแพงเพชร,3,23,687
กำแพงเพชร,3,21,676
กำแพงเพชร,3,4,541
กำแพงเพชร,3,11,510
กำแพงเพชร,3,32,297
กำแพงเพชร,3,8,226
กำแพงเพชร,3,5,195
กำแพงเพชร,3,16,178
กำแพงเพชร,3,15,159
กำแพงเพชร,3,7,122
กำแพงเพชร,3,25,119
กำแพงเพชร,3,14,114
กำแพงเพชร,3,29,112
กำแพงเพชร,3,24,82
กำแพงเพชร,3,10,81
กำแพงเพชร,3,20,81
กำแพงเพชร,3,18,68
กำแพงเพชร,3,31,59
กำแพงเพชร,3,26,54
กำแพงเพชร,3,30,53
กำแพงเพชร,3,19,51
กำแพงเพชร,3,27,37
กำแพงเพชร,3,28,31
กำแพงเพชร,3,6,0
กำแพงเพชร,3,22,0
กำแพงเพชร,4,2,30112
กำแพงเพชร,4,6,26446
กำแพงเพชร,4,12,11536
กำแพงเพชร,4,16,8242
กำแพงเพชร,4,14,5351
กำแพงเพชร,4,5,1135
กำแพงเพชร,4,3,1011
กำแพงเพชร,4,22,738
กำแพงเพชร,4,19,612
กำแพงเพชร,4,1,582
กำแพงเพชร,4,11,487
กำแพงเพชร,4,10,472
กำแพงเพชร,4,26,467
กำแพงเพชร,4,23,322
กำแพงเพชร,4,13,220
กำแพงเพชร,4,25,220
กำแพงเพชร,4,17,210
กำแพงเพชร,4,4,175
กำแพงเพชร,4,18,152
กำแพงเพชร,4,8,150
กำแพงเพชร,4,9,134
กำแพงเพชร,4,24,132
กำแพงเพชร,4,28,67
กำแพงเพชร,4,31,57
กำแพงเพชร,4,20,43
กำแพงเพชร,4,29,41
กำแพงเพชร,4,30,38
กำแพงเพชร,4,7,0
กำแพงเพชร,4,15,0
กำแพงเพชร,4,21,0
กำแพงเพชร,4,27,0
กระบี่,1,18,44346
กระบี่,1,2,30381
กระบี่,1,15,17783
กระบี่,1,16,8484
กระบี่,1,10,4784
กระบี่,1,11,2032
กระบี่,1,8,1986
กระบี่,1,24,1596
กระบี่,1,7,1128
กระบี่,1,17,942
กระบี่,1,25,714
กระบี่,1,4,672
กระบี่,1,22,634
กระบี่,1,1,623
กระบี่,1,28,572
กระบี่,1,19,455
กระบี่,1,30,452
กระบี่,1,14,424
กระบี่,1,29,415
กระบี่,1,21,401
กระบี่,1,13,374
กระบี่,1,27,313
กระบี่,1,9,289
กระบี่,1,6,273
กระบี่,1,32,272
กระบี่,1,33,116
กระบี่,1,20,108
กระบี่,1,23,93
กระบี่,1,31,76
กระบี่,1,3,0
กระบี่,2,3,41978
กระบี่,2,13,40014
กระบี่,2,1,12531
กระบี่,2,11,12412
กระบี่,2,2,6852
กระบี่,2,5,5204
กระบี่,2,7,1660
กระบี่,2,22,1227
กระบี่,2,15,993
กระบี่,2,18,858
กระบี่,2,19,705
กระบี่,2,23,593
กระบี่,2,10,538
กระบี่,2,12,481
กระบี่,2,17,418
กระบี่,2,16,324
กระบี่,2,14,298
กระบี่,2,21,289
กระบี่,2,4,286
กระบี่,2,27,247
กระบี่,2,8,243
กระบี่,2,33,224
กระบี่,2,6,216
กระบี่,2,29,212
กระบี่,2,26,205
กระบี่,2,30,169
กระบี่,2,25,160
กระบี่,2,24,150
กระบี่,2,28,146
กระบี่,2,34,110
กระบี่,2,32,107
กระบี่,2,9,106
กระบี่,2,31,106
กระบี่,2,20,0
กระบี่,1,5,3474
กระบี่,1,26,389
กระบี่,1,12,272
กรุงเทพมหานคร,1,14,23246
กรุงเทพมหานคร,1,11,18091
กรุงเทพมหานคร,1,9,15904
กรุงเทพมหานคร,1,3,14348
กรุงเทพมหานคร,1,21,4522
กรุงเทพมหานคร,1,17,1687
กรุงเทพมหานคร,1,13,806
กรุงเทพมหานคร,1,7,547
กรุงเทพมหานคร,1,2,426
กรุงเทพมหานคร,1,12,301
กรุงเทพมหานคร,1,5,268
กรุงเทพมหานคร,1,1,223
กรุงเทพมหานคร,1,4,212
กรุงเทพมหานคร,1,10,168
กรุงเทพมหานคร,1,6,91
กรุงเทพมหานคร,1,20,62
กรุงเทพมหานคร,1,15,54
กรุงเทพมหานคร,1,19,36
กรุงเทพมหานคร,1,23,34
กรุงเทพมหานคร,1,16,33
กรุงเทพมหานคร,1,24,27
กรุงเทพมหานคร,1,26,25
กรุงเทพมหานคร,1,30,25
กรุงเทพมหานคร,1,25,24
กรุงเทพมหานคร,1,18,23
กรุงเทพมหานคร,1,28,21
กรุงเทพมหานคร,1,29,20
กรุงเทพมหานคร,1,22,18
กรุงเทพมหานคร,1,27,15
กรุงเทพมหานคร,1,8,0
กรุงเทพมหานคร,2,2,26909
กรุงเทพมหานคร,2,5,26636
กรุงเทพมหานคร,2,4,16269
กรุงเทพมหานคร,2,19,5610
กรุงเทพมหานคร,2,6,3434
กรุงเทพมหานคร,2,3,2947
กรุงเทพมหานคร,2,7,2142
กรุงเทพมหานคร,2,1,1022
กรุงเทพมหานคร,2,18,246
กรุงเทพมหานคร,2,12,195
กรุงเทพมหานคร,2,13,189
กรุงเทพมหานคร,2,8,166
กรุงเทพมหานคร,2,11,162
กรุงเทพมหานคร,2,31,103
กรุงเทพมหานคร,2,9,102
กรุงเทพมหานคร,2,23,86
กรุงเทพมหานคร,2,22,55
กรุงเทพมหานคร,2,21,51
กรุงเทพมหานคร,2,24,49
กรุงเทพมหานคร,2,30,47
กรุงเทพมหานคร,2,25,41
กรุงเทพมหานคร,2,20,40
กรุงเทพมหานคร,2,16,38
กรุงเทพมหานคร,2,15,36
กรุงเทพมหานคร,2,26,34
กรุงเทพมหานคร,2,29,27
กรุงเทพมหานคร,2,27,23
กรุงเทพมหานคร,2,28,23
กรุงเทพมหานคร,2,17,19
กรุงเทพมหานคร,2,10,0
กรุงเทพมหานคร,2,14,0
กรุงเทพมหานคร,3,14,28444
กรุงเทพมหานคร,3,3,25148
กรุงเทพมหานคร,3,13,17029
กรุงเทพมหานคร,3,20,5788
กรุงเทพมหานคร,3,11,3832
กรุงเทพมหานคร,3,10,1209
กรุงเทพมหานคร,3,12,1082
กรุงเทพมหานคร,3,5,546
กรุงเทพมหานคร,3,15,369
กรุงเทพมหานคร,3,4,350
กรุงเทพมหานคร,3,6,284
กรุงเทพมหานคร,3,19,247
กรุงเทพมหานคร,3,8,235
กรุงเทพมหานคร,3,9,208
กรุงเทพมหานคร,3,2,186
กรุงเทพมหานคร,3,18,183
กรุงเทพมหานคร,3,23,147
กรุงเทพมหานคร,3,21,142
กรุงเทพมหานคร,3,22,129
กรุงเทพมหานคร,3,7,102
กรุงเทพมหานคร,3,26,101
กรุงเทพมหานคร,3,16,40
กรุงเทพมหานคร,3,17,36
กรุงเทพมหานคร,3,25,34
กรุงเทพมหานคร,3,31,34
กรุงเทพมหานคร,3,28,32
กรุงเทพมหานคร,3,24,29
กรุงเทพมหานคร,3,33,28
กรุงเทพมหานคร,3,29,27
กรุงเทพมหานคร,3,30,25
กรุงเทพมหานคร,3,32,12
กรุงเทพมหานคร,3,27,9
กรุงเทพมหานคร,3,1,0
กรุงเทพมหานคร,4,6,27620
กรุงเทพมหานคร,4,2,25588
กรุงเทพมหานคร,4,11,13890
กรุงเทพมหานคร,4,21,4408
กรุงเทพมหานคร,4,1,3424
กรุงเทพมหานคร,4,3,3199
กรุงเทพมหานคร,4,5,898
กรุงเทพมหานคร,4,4,712
กรุงเทพมหานคร,4,8,420
กรุงเทพมหานคร,4,17,395
กรุงเทพมหานคร,4,7,269
กรุงเทพมหานคร,4,16,269
กรุงเทพมหานคร,4,14,202
กรุงเทพมหานคร,4,12,179
กรุงเทพมหานคร,4,10,165
กรุงเทพมหานคร,4,28,124
กรุงเทพมหานคร,4,22,75
กรุงเทพมหานคร,4,24,74
กรุงเทพมหานคร,4,26,71
กรุงเทพมหานคร,4,20,64
กรุงเทพมหานคร,4,13,62
กรุงเทพมหานคร,4,19,51
กรุงเทพมหานคร,4,23,45
กรุงเทพมหานคร,4,9,40
กรุงเทพมหานคร,4,25,35
กรุงเทพมหานคร,4,31,32
กรุงเทพมหานคร,4,15,26
กรุงเทพมหานคร,4,29,25
กรุงเทพมหานคร,4,30,20
กรุงเทพมหานคร,4,32,17
กรุงเทพมหานคร,4,27,13
กรุงเทพมหานคร,4,18,0
กรุงเทพมหานคร,5,13,27897
กรุงเทพมหานคร,5,2,27667
กรุงเทพมหานคร,5,8,25484
กรุงเทพมหานคร,5,9,18711
กรุงเทพมหานคร,5,29,5707
กรุงเทพมหานคร,5,7,2583
กรุงเทพมหานคร,5,4,746
กรุงเทพมหานคร,5,17,603
กรุงเทพมหานคร,5,11,436
กรุงเทพมหานคร,5,15,369
กรุงเทพมหานคร,5,1,291
กรุงเทพมหานคร,5,14,221
กรุงเทพมหานคร,5,6,209
กรุงเทพมหานคร,5,24,164
กรุงเทพมหานคร,5,3,140
กรุงเทพมหานคร,5,21,107
กรุงเทพมหานคร,5,22,104
กรุงเทพมหานคร,5,12,97
กรุงเทพมหานคร,5,18,97
กรุงเทพมหานคร,5,10,92
กรุงเทพมหานคร,5,26,86
กรุงเทพมหานคร,5,33,82
กรุงเทพมหานคร,5,25,77
กรุงเทพมหานคร,5,23,56
กรุงเทพมหานคร,5,16,38
กรุงเทพมหานคร,5,20,38
กรุงเทพมหานคร,5,30,30
กรุงเทพมหานคร,5,28,24
กรุงเทพมหานคร,5,32,16
กรุงเทพมหานคร,5,19,14
กรุงเทพมหานคร,5,27,9
กรุงเทพมหานคร,5,5,0
กรุงเทพมหานคร,5,31,0
กรุงเทพมหานคร,6,11,28690
กรุงเทพมหานคร,6,8,23980
กรุงเทพมหานคร,6,3,22275
กรุงเทพมหานคร,6,10,16525
กรุงเทพมหานคร,6,20,5416
กรุงเทพมหานคร,6,2,2471
กรุงเทพมหานคร,6,1,1101
กรุงเทพมหานคร,6,7,811
กรุงเทพมหานคร,6,18,429
กรุงเทพมหานคร,6,15,384
กรุงเทพมหานคร,6,9,276
กรุงเทพมหานคร,6,4,263
กรุงเทพมหานคร,6,6,224
กรุงเทพมหานคร,6,16,164
กรุงเทพมหานคร,6,17,117
กรุงเทพมหานคร,6,13,115
กรุงเทพมหานคร,6,12,102
กรุงเทพมหานคร,6,21,75
กรุงเทพมหานคร,6,5,66
กรุงเทพมหานคร,6,27,63
กรุงเทพมหานคร,6,23,59
กรุงเทพมหานคร,6,25,49
กรุงเทพมหานคร,6,30,44
กรุงเทพมหานคร,6,19,39
กรุงเทพมหานคร,6,22,38
กรุงเทพมหานคร,6,14,36
กรุงเทพมหานคร,6,24,33
กรุงเทพมหานคร,6,26,16
กรุงเทพมหานคร,6,28,15
กรุงเทพมหานคร,6,29,3
กรุงเทพมหานคร,7,4,25180
กรุงเทพมหานคร,7,17,23998
กรุงเทพมหานคร,7,3,21339
กรุงเทพมหานคร,7,15,12896
กรุงเทพมหานคร,7,12,5160
กรุงเทพมหานคร,7,22,3848
กรุงเทพมหานคร,7,7,2006
กรุงเทพมหานคร,7,14,1003
กรุงเทพมหานคร,7,11,658
กรุงเทพมหานคร,7,16,476
กรุงเทพมหานคร,7,13,426
กรุงเทพมหานคร,7,1,259
กรุงเทพมหานคร,7,8,242
กรุงเทพมหานคร,7,9,238
กรุงเทพมหานคร,7,6,224
กรุงเทพมหานคร,7,2,164
กรุงเทพมหานคร,7,5,123
กรุงเทพมหานคร,7,18,97
กรุงเทพมหานคร,7,21,92
กรุงเทพมหานคร,7,24,89
กรุงเทพมหานคร,7,10,81
กรุงเทพมหานคร,7,27,59
กรุงเทพมหานคร,7,29,58
กรุงเทพมหานคร,7,23,39
กรุงเทพมหานคร,7,31,32
กรุงเทพมหานคร,7,19,30
กรุงเทพมหานคร,7,26,30
กรุงเทพมหานคร,7,30,26
กรุงเทพมหานคร,7,20,20
กรุงเทพมหานคร,7,28,20
กรุงเทพมหานคร,7,25,13
กรุงเทพมหานคร,8,2,29090
กรุงเทพมหานคร,8,6,26122
กรุงเทพมหานคร,8,12,25656
กรุงเทพมหานคร,8,16,15384
กรุงเทพมหานคร,8,22,5661
กรุงเทพมหานคร,8,7,2338
กรุงเทพมหานคร,8,3,764
กรุงเทพมหานคร,8,11,690
กรุงเทพมหานคร,8,10,597
กรุงเทพมหานคร,8,19,450
กรุงเทพมหานคร,8,1,293
กรุงเทพมหานคร,8,8,205
กรุงเทพมหานคร,8,13,195
กรุงเทพมหานคร,8,14,171
กรุงเทพมหานคร,8,21,151
กรุงเทพมหานคร,8,15,129
กรุงเทพมหานคร,8,5,105
กรุงเทพมหานคร,8,4,89
กรุงเทพมหานคร,8,9,75
กรุงเทพมหานคร,8,26,73
กรุงเทพมหานคร,8,20,64
กรุงเทพมหานคร,8,17,50
กรุงเทพมหานคร,8,18,48
กรุงเทพมหานคร,8,23,46
กรุงเทพมหานคร,8,30,43
กรุงเทพมหานคร,8,24,36
กรุงเทพมหานคร,8,25,31
กรุงเทพมหานคร,8,34,25
กรุงเทพมหานคร,8,29,20
กรุงเทพมหานคร,8,27,19
กรุงเทพมหานคร,8,33,15
กรุงเทพมหานคร,8,32,11
กรุงเทพมหานคร,8,31,10
กรุงเทพมหานคร,8,28,0
กรุงเทพมหานคร,9,6,34907
กรุงเทพมหานคร,9,2,32115
กรุงเทพมหานคร,9,12,25735
กรุงเทพมหานคร,9,5,16255
กรุงเทพมหานคร,9,20,5873
กรุงเทพมหานคร,9,13,2593
กรุงเทพมหานคร,9,7,1666
กรุงเทพมหานคร,9,11,760
กรุงเทพมหานคร,9,15,578
กรุงเทพมหานคร,9,1,380
กรุงเทพมหานคร,9,4,348
กรุงเทพมหานคร,9,8,241
กรุงเทพมหานคร,9,10,237
กรุงเทพมหานคร,9,9,170
กรุงเทพมหานคร,9,3,147
กรุงเทพมหานคร,9,22,98
กรุงเทพมหานคร,9,16,81
กรุงเทพมหานคร,9,19,71
กรุงเทพมหานคร,9,23,59
กรุงเทพมหานคร,9,14,58
กรุงเทพมหานคร,9,26,55
กรุงเทพมหานคร,9,17,54
กรุงเทพมหานคร,9,24,52
กรุงเทพมหานคร,9,28,49
กรุงเทพมหานคร,9,25,46
กรุงเทพมหานคร,9,21,41
กรุงเทพมหานคร,9,30,38
กรุงเทพมหานคร,9,27,25
กรุงเทพมหานคร,9,18,23
กรุงเทพมหานคร,9,29,0
กรุงเทพมหานคร,10,1,30800
กรุงเทพมหานคร,10,13,22067
กรุงเทพมหานคร,10,17,22062
กรุงเทพมหานคร,10,11,14061
กรุงเทพมหานคร,10,4,2326
กรุงเทพมหานคร,10,3,627
กรุงเทพมหานคร,10,18,428
กรุงเทพมหานคร,10,8,257
กรุงเทพมหานคร,10,5,245
กรุงเทพมหานคร,10,6,227
กรุงเทพมหานคร,10,10,183
กรุงเทพมหานคร,10,12,164
กรุงเทพมหานคร,10,7,129
กรุงเทพมหานคร,10,9,126
กรุงเทพมหานคร,10,15,113
กรุงเทพมหานคร,10,16,107
กรุงเทพมหานคร,10,14,88
กรุงเทพมหานคร,10,22,65
กรุงเทพมหานคร,10,23,64
กรุงเทพมหานคร,10,29,60
กรุงเทพมหานคร,10,25,40
กรุงเทพมหานคร,10,20,38
กรุงเทพมหานคร,10,24,35
กรุงเทพมหานคร,10,28,28
กรุงเทพมหานคร,10,27,26
กรุงเทพมหานคร,10,26,16
กรุงเทพมหานคร,10,19,8
กรุงเทพมหานคร,10,2,0
กรุงเทพมหานคร,10,21,0
กรุงเทพมหานคร,11,12,34679
กรุงเทพมหานคร,11,13,25098
กรุงเทพมหานคร,11,8,24815
กรุงเทพมหานคร,11,7,18960
กรุงเทพมหานคร,11,19,4141
กรุงเทพมหานคร,11,4,2363
กรุงเทพมหานคร,11,10,661
กรุงเทพมหานคร,11,21,361
กรุงเทพมหานคร,11,9,354
กรุงเทพมหานคร,11,2,336
กรุงเทพมหานคร,11,11,217
กรุงเทพมหานคร,11,1,173
กรุงเทพมหานคร,11,6,173
กรุงเทพมหานคร,11,30,160
กรุงเทพมหานคร,11,15,130
กรุงเทพมหานคร,11,14,124
กรุงเทพมหานคร,11,18,84
กรุงเทพมหานคร,11,3,78
กรุงเทพมหานคร,11,17,72
กรุงเทพมหานคร,11,16,69
กรุงเทพมหานคร,11,5,64
กรุงเทพมหานคร,11,28,62
กรุงเทพมหานคร,11,24,40
กรุงเทพมหานคร,11,22,38
กรุงเทพมหานคร,11,29,37
กรุงเทพมหานคร,11,27,33
กรุงเทพมหานคร,11,31,26
กรุงเทพมหานคร,11,25,23
กรุงเทพมหานคร,11,20,19
กรุงเทพมหานคร,11,26,18
กรุงเทพมหานคร,11,23,0
กรุงเทพมหานคร,12,8,30254
กรุงเทพมหานคร,12,1,27629
กรุงเทพมหานคร,12,12,27571
กรุงเทพมหานคร,12,6,11075
กรุงเทพมหานคร,12,24,5174
กรุงเทพมหานคร,12,11,4057
กรุงเทพมหานคร,12,13,2394
กรุงเทพมหานคร,12,4,625
กรุงเทพมหานคร,12,14,510
กรุงเทพมหานคร,12,9,436
กรุงเทพมหานคร,12,7,345
กรุงเทพมหานคร,12,3,304
กรุงเทพมหานคร,12,5,181
กรุงเทพมหานคร,12,32,145
กรุงเทพมหานคร,12,16,143
กรุงเทพมหานคร,12,2,139
กรุงเทพมหานคร,12,10,127
กรุงเทพมหานคร,12,28,118
กรุงเทพมหานคร,12,21,106
กรุงเทพมหานคร,12,27,78
กรุงเทพมหานคร,12,29,63
กรุงเทพมหานคร,12,22,58
กรุงเทพมหานคร,12,30,56
กรุงเทพมหานคร,12,26,47
กรุงเทพมหานคร,12,20,41
กรุงเทพมหานคร,12,25,41
กรุงเทพมหานคร,12,33,37
กรุงเทพมหานคร,12,15,30
กรุงเทพมหานคร,12,18,30
กรุงเทพมหานคร,12,23,30
กรุงเทพมหานคร,12,31,28
กรุงเทพมหานคร,12,19,27
กรุงเทพมหานคร,12,17,16
กรุงเทพมหานคร,13,9,27489
กรุงเทพมหานคร,13,5,23912
กรุงเทพมหานคร,13,10,23707
กรุงเทพมหานคร,13,8,17958
กรุงเทพมหานคร,13,21,4803
กรุงเทพมหานคร,13,17,2091
กรุงเทพมหานคร,13,14,1544
กรุงเทพมหานคร,13,6,918
กรุงเทพมหานคร,13,2,677
กรุงเทพมหานคร,13,16,333
กรุงเทพมหานคร,13,1,253
กรุงเทพมหานคร,13,4,237
กรุงเทพมหานคร,13,15,179
กรุงเทพมหานคร,13,7,129
กรุงเทพมหานคร,13,12,129
กรุงเทพมหานคร,13,13,119
กรุงเทพมหานคร,13,25,101
กรุงเทพมหานคร,13,11,93
กรุงเทพมหานคร,13,24,82
กรุงเทพมหานคร,13,29,75
กรุงเทพมหานคร,13,22,71
กรุงเทพมหานคร,13,20,57
กรุงเทพมหานคร,13,3,52
กรุงเทพมหานคร,13,23,48
กรุงเทพมหานคร,13,19,37
กรุงเทพมหานคร,13,18,32
กรุงเทพมหานคร,13,31,27
กรุงเทพมหานคร,13,26,26
กรุงเทพมหานคร,13,28,25
กรุงเทพมหานคร,13,27,21
กรุงเทพมหานคร,13,30,13
กรุงเทพมหานคร,14,5,31445
กรุงเทพมหานคร,14,9,25908
กรุงเทพมหานคร,14,10,24461
กรุงเทพมหานคร,14,6,13375
กรุงเทพมหานคร,14,14,5518
กรุงเทพมหานคร,14,23,4767
กรุงเทพมหานคร,14,4,2424
กรุงเทพมหานคร,14,8,1332
กรุงเทพมหานคร,14,19,368
กรุงเทพมหานคร,14,13,230
กรุงเทพมหานคร,14,11,225
กรุงเทพมหานคร,14,1,206
กรุงเทพมหานคร,14,16,202
กรุงเทพมหานคร,14,20,198
กรุงเทพมหานคร,14,7,159
กรุงเทพมหานคร,14,15,140
กรุงเทพมหานคร,14,21,134
กรุงเทพมหานคร,14,25,129
กรุงเทพมหานคร,14,12,85
กรุงเทพมหานคร,14,3,80
กรุงเทพมหานคร,14,22,71
กรุงเทพมหานคร,14,24,53
กรุงเทพมหานคร,14,29,50
กรุงเทพมหานคร,14,26,48
กรุงเทพมหานคร,14,2,44
กรุงเทพมหานคร,14,18,44
กรุงเทพมหานคร,14,30,44
กรุงเทพมหานคร,14,17,35
กรุงเทพมหานคร,14,33,27
กรุงเทพมหานคร,14,32,20
กรุงเทพมหานคร,14,28,19
กรุงเทพมหานคร,14,31,10
กรุงเทพมหานคร,14,27,0
กรุงเทพมหานคร,15,12,31551
กรุงเทพมหานคร,15,6,30123
กรุงเทพมหานคร,15,2,21186
กรุงเทพมหานคร,15,1,8949
กรุงเทพมหานคร,15,20,3557
กรุงเทพมหานคร,15,13,1925
กรุงเทพมหานคร,15,7,627
กรุงเทพมหานคร,15,16,367
กรุงเทพมหานคร,15,11,320
กรุงเทพมหานคร,15,9,260
กรุงเทพมหานคร,15,5,219
กรุงเทพมหานคร,15,15,209
กรุงเทพมหานคร,15,8,169
กรุงเทพมหานคร,15,14,119
กรุงเทพมหานคร,15,17,116
กรุงเทพมหานคร,15,10,111
กรุงเทพมหานคร,15,21,90
กรุงเทพมหานคร,15,26,81
กรุงเทพมหานคร,15,4,77
กรุงเทพมหานคร,15,3,76
กรุงเทพมหานคร,15,22,71
กรุงเทพมหานคร,15,32,50
กรุงเทพมหานคร,15,28,34
กรุงเทพมหานคร,15,30,32
กรุงเทพมหานคร,15,23,26
กรุงเทพมหานคร,15,25,24
กรุงเทพมหานคร,15,29,19
กรุงเทพมหานคร,15,18,17
กรุงเทพมหานคร,15,24,16
กรุงเทพมหานคร,15,27,15
กรุงเทพมหานคร,15,31,11
กรุงเทพมหานคร,15,19,0
กรุงเทพมหานคร,16,6,31481
กรุงเทพมหานคร,16,11,29304
กรุงเทพมหานคร,16,13,26352
กรุงเทพมหานคร,16,12,10683
กรุงเทพมหานคร,16,22,4389
กรุงเทพมหานคร,16,5,2652
กรุงเทพมหานคร,16,10,1241
กรุงเทพมหานคร,16,4,876
กรุงเทพมหานคร,16,9,363
กรุงเทพมหานคร,16,1,329
กรุงเทพมหานคร,16,16,281
กรุงเทพมหานคร,16,3,245
กรุงเทพมหานคร,16,7,145
กรุงเทพมหานคร,16,14,134
กรุงเทพมหานคร,16,23,116
กรุงเทพมหานคร,16,17,108
กรุงเทพมหานคร,16,8,106
กรุงเทพมหานคร,16,25,106
กรุงเทพมหานคร,16,24,97
กรุงเทพมหานคร,16,26,94
กรุงเทพมหานคร,16,19,78
กรุงเทพมหานคร,16,21,78
กรุงเทพมหานคร,16,20,73
กรุงเทพมหานคร,16,18,72
กรุงเทพมหานคร,16,31,71
กรุงเทพมหานคร,16,2,69
กรุงเทพมหานคร,16,28,52
กรุงเทพมหานคร,16,30,40
กรุงเทพมหานคร,16,15,33
กรุงเทพมหานคร,16,27,29
กรุงเทพมหานคร,16,29,19
กรุงเทพมหานคร,17,10,25329
กรุงเทพมหานคร,17,9,24610
กรุงเทพมหานคร,17,1,18391
กรุงเทพมหานคร,17,6,8868
